rank,pref,rate
1,島根県,0.5924
2,山梨県,0.5918
3,山形県,0.5915
4,佐賀県,0.5777
5,北海道,0.5635
6,岩手県,0.5623
7,三重県,0.5620
8,大分県,0.5611
9,秋田県,0.5578
10,静岡県,0.5561
11,奈良県,0.5560
12,長野県,0.5548
13,茨城県,0.5524
14,鳥取県,0.5438
15,東京都,0.5436
16,愛知県,0.5419
17,神奈川県,0.5388
18,滋賀県,0.5379
19,山口県,0.5307
20,岐阜県,0.5292
21,新潟県,0.5271
平均,全国,0.5266
22,福島県,0.5251
23,沖縄県,0.5236
24,埼玉県,0.5197
25,群馬県,0.5172
26,千葉県,0.5124
27,長崎県,0.5113
28,和歌山県,0.5105
29,京都府,0.5099
30,高知県,0.5098
31,兵庫県,0.5086
32,大阪府,0.5067
33,岡山県,0.5060
34,香川県,0.5056
35,鹿児島県,0.5047
36,栃木県,0.5010
37,熊本県,0.5006
38,広島県,0.5002
39,福井県,0.5000
40,宮崎県,0.4986
41,愛媛県,0.4980
42,宮城県,0.4923
43,石川県,0.4916
44,福岡県,0.4881
45,富山県,0.4746
46,徳島県,0.4722
47,青森県,0.4683
