順位,県番号,都道府県,2019有権者数,2019投票者数,2017有権者数,2017投票者数,2016有権者数,2016投票者数,2014有権者数,2014投票者数,2013有権者数,2013投票者数,2012有権者数,2012投票者数,衆参6回平均投票率
37,37,香川県,"825,466","373,999","829,665","440,387","834,059","417,392","819,924 ","414,578 ","826,930","430,704","824,554 ","486,811 ",51.68%
38,26,京都府,"2,126,435","987,180","2,129,886","1,084,137","2,132,372","1,090,830","2,087,647 ","1,064,427 ","2,099,140","1,092,693","2,091,750 ","1,218,759 ",51.61%
39,12,千葉県,"5,244,929","2,374,964","5,225,120","2,607,028","5,201,477","2,705,717","5,072,628 ","2,599,061 ","5,062,684","2,491,826","5,055,908 ","2,957,238 ",50.99%
40,40,福岡県,"4,225,217","1,810,510","4,227,727","2,253,953","4,224,093","2,232,596","4,125,069 ","2,013,338 ","4,117,671","2,032,478","4,112,260 ","2,357,866 ",50.74%
41,9,栃木県,"1,634,678","721,568","1,646,562","850,487","1,653,308","849,497","1,622,745 ","812,991 ","1,625,367","807,716","1,626,704 ","890,046 ",50.28%
42,34,広島県,"2,346,879","1,048,374","2,355,504","1,181,684","2,363,368","1,171,849","2,314,027 ","1,157,399 ","2,324,694","1,162,108","2,319,885 ","1,316,778 ",50.19%
43,33,岡山県,"1,587,953","715,907","1,594,057","798,526","1,599,520","813,484","1,567,111 ","793,033 ","1,576,112","770,478","1,571,500 ","868,630 ",50.13%
44,2,青森県,"1,109,105","476,241","1,125,240","609,528","1,140,629","630,882","1,129,489 ","528,911 ","1,145,833","529,933","1,144,420 ","620,224 ",49.98%
45,39,高知県,"610,498","282,912","620,580","321,874","628,348","286,003","621,991 ","317,092 ","627,921","313,269","630,554 ","339,827 ",49.76%
46,45,宮崎県,"920,474","384,656","926,261","467,587","936,443","465,962","922,019 ","459,705 ","931,962","464,278","927,973 ","516,815 ",49.58%
47,36,徳島県,"636,739","245,745","644,670","299,594","651,552","306,089","644,012 ","304,099 ","651,117","320,964","651,233 ","376,632 ",47.77%
