rank,pref,rate
1,島根県,0.6574
2,山形県,0.6486
3,山梨県,0.6367
4,長野県,0.6336
5,秋田県,0.6322
6,奈良県,0.6314
7,鳥取県,0.6292
8,東京都,0.6220
9,大分県,0.6217
10,岐阜県,0.6204
11,石川県,0.6192
12,佐賀県,0.6186
13,滋賀県,0.6176
14,静岡県,0.6175
15,福井県,0.6175
16,岩手県,0.6168
17,和歌山県,0.6137
18,三重県,0.6129
19,長崎県,0.6011
20,山口県,0.6004
21,神奈川県,0.5987
22,新潟県,0.5966
23,愛媛県,0.5956
平均,全国,0.5932
24,愛知県,0.5907
25,香川県,0.5904
26,福島県,0.5886
27,茨城県,0.5885
28,北海道,0.5873
29,兵庫県,0.5859
30,熊本県,0.5853
31,千葉県,0.5849
32,大阪府,0.5837
33,京都府,0.5827
34,徳島県,0.5783
35,埼玉県,0.5740
36,福岡県,0.5734
37,群馬県,0.5733
38,富山県,0.5689
39,鹿児島県,0.5679
40,広島県,0.5676
41,沖縄県,0.5602
42,宮崎県,0.5569
43,岡山県,0.5527
44,宮城県,0.5524
45,栃木県,0.5471
46,青森県,0.5420
47,高知県,0.5389
