rank,pref,rate
1,山形県,0.6074
2,岩手県,0.5655
3,秋田県,0.5629
4,新潟県,0.5531
5,長野県,0.5429
6,島根県,0.5404
7,北海道,0.5376
8,福島県,0.5241
9,愛媛県,0.5239
10,滋賀県,0.5196
11,東京都,0.5177
12,三重県,0.5169
13,山梨県,0.5156
14,宮城県,0.5117
15,岐阜県,0.5100
16,大分県,0.5054
17,静岡県,0.5046
18,和歌山県,0.5042
19,鳥取県,0.4998
20,奈良県,0.4953
21,沖縄県,0.4900
平均,全国,0.4880
22,神奈川県,0.4873
23,大阪府,0.4863
24,兵庫県,0.4860
25,愛知県,0.4818
26,群馬県,0.4818
27,福井県,0.4764
28,山口県,0.4732
29,熊本県,0.4723
30,石川県,0.4700
31,富山県,0.4688
32,埼玉県,0.4648
33,京都府,0.4642
34,高知県,0.4634
35,鹿児島県,0.4575
36,長崎県,0.4546
37,香川県,0.4531
38,千葉県,0.4528
39,佐賀県,0.4525
40,岡山県,0.4508
41,茨城県,0.4502
42,広島県,0.4467
43,栃木県,0.4414
44,青森県,0.4294
45,福岡県,0.4285
46,宮崎県,0.4179
47,徳島県,0.3859
