rank,pref,rate
1,長野県,0.6286
2,山形県,0.6222
3,島根県,0.6220
4,秋田県,0.6087
5,新潟県,0.5977
6,三重県,0.5975
7,山梨県,0.5883
8,大分県,0.5838
9,岩手県,0.5778
10,岐阜県,0.5774
11,東京都,0.5750
12,福島県,0.5712
13,奈良県,0.5689
14,石川県,0.5688
15,北海道,0.5678
16,佐賀県,0.5669
17,滋賀県,0.5652
18,福井県,0.5650
19,愛媛県,0.5636
20,鳥取県,0.5628
21,長崎県,0.5589
22,鹿児島県,0.5586
23,静岡県,0.5576
24,富山県,0.5561
25,神奈川県,0.5546
26,愛知県,0.5541
27,青森県,0.5531
28,和歌山県,0.5529
平均,全国,0.5470
29,沖縄県,0.5446
30,兵庫県,0.5374
31,山口県,0.5335
32,福岡県,0.5285
33,宮城県,0.5239
34,大阪府,0.5223
35,千葉県,0.5202
36,埼玉県,0.5194
37,熊本県,0.5146
38,栃木県,0.5138
39,京都府,0.5116
40,岡山県,0.5086
41,茨城県,0.5077
42,群馬県,0.5051
43,香川県,0.5004
44,宮崎県,0.4976
45,広島県,0.4958
46,徳島県,0.4698
47,高知県,0.4552
