rank,categoryRank,brandNameJapanese,website,absoluteGrowthRate,compoundAnnualGrowthRate,Revenue2020,foundingYear,prefecture
61,3,株式会社HiiizL,https://hiiizl.co.jp,218.7%,47.2%,387302874 ,2014,鹿児島県
62,23,WEBEDGE,https://webedge.jp,215.9%,46.7%,540595864 ,2008,東京都
63,9,株式会社経営サポートプラスアルファホールディングス,https://keiei-support-plus-a.com/,214.1%,46.4%,236500500 ,2012,東京都
64,6,Japan Project Solutions Inc,https://www.japan-project-solutions.com,213.9%,46.4%,632401318 ,2013,神奈川県
65,7,WorldUtility株式会社,https://worldutility.net,212.2%,46.2%,140235675 ,2015,島根県
66,27,CHENGSI JAPAN K.K,https://ichengsi.co.jp,209.4%,45.7%,197180271 ,2016,神奈川県
67,15,ミツフジ株式会社,https://www.mitsufuji.co.jp,208.2%,45.5%,1119030000 ,1979,京都府
68,3,株式会社ギア,https://www.g-gear.jp,205.3%,45.1%,726078045 ,2011,東京都
69,2,Goodpatch,https://goodpatch.com,200.1%,44.2%,2143000000 ,2011,東京都
70,6,BizMow株式会社,https://bizmow.com/,196.5%,43.7%,145463094 ,2008,東京都
71,8,大和インフィリンク株式会社,https://yamato-infilink.co.jp/,193.3%,43.1%,2140770000 ,2015,東京都
72,2,SuperOx Japan LLC,https://superoxjapan.com,191.8%,42.9%,548854154 ,2011,神奈川県
73,1,"Tokyo Tsushin, Inc.",https://tokyo-tsushin.com,191.8%,42.9%,2449000857 ,2015,東京都
74,1,プレストファーレ株式会社,http://www.prestfare.tokyo,187.6%,42.2%,538770046 ,2016,東京都
75,2,合同会社ラボリ,http//labori-saitama.com,185.7%,41.9%,494213854 ,2014,埼玉県
76,3,株式会社ユニークプラス,https://uniqueplus.co.jp,183.8%,41.6%,275198541 ,2015,大阪府
77,4,プレシジョン・システム・サイエンス株式会社,http://www.pss.co.jp,180.9%,41.1%,9047294000 ,1985,千葉県
78,18,TableCheck Inc.,https://www.tablecheck.com/ja/company/,179.6%,40.9%,928359957 ,2011,東京都
