順位,会社名,website,所在地,業種,年平均成長率,20年度の売上高（百万円）,17年度の売上高（百万円）,20年度の従業員数,17年度の従業員数,創業年,上場・非上場の区別（○は上場企業）,,,,,
47,グロウ,http://gro-w.jp/,大阪府,卸売業・小売業,56.70%,4533.0 ,1178.0 ,55,22,2008,×,,,,,
48,W-ENDLESS,https://www.w-endless.co.jp/,大阪府,学術研究・専門・技術サービス業,56.50%,1696.3 ,442.2 ,90,45,2014,×,,,,,
49,Institution for a Global Society,https://i-globalsociety.com/,東京都,情報通信業,54.60%,514.4 ,139.3 ,33,20,2010,〇,,,,,
50,ジーエヌアイグループ,https://www.gnipharma.com,東京都,製造業,54.50%,9773.9 ,2648.5 ,539,275,2001,〇,,,,,
51,新潟土地建物販売センター,https://niigata-tochitate.jp,新潟県,不動産業・物品賃貸業,54.50%,1494.6 ,405.1 ,25,9,2013,×,,,,,
52,サンガッチョジャパン,https://via.sangacio.com,東京都,製造業,53.10%,413.2 ,115.0 ,3,2,2015,×,,,,,
53,SHIFT,https://www.shiftinc.jp,東京都,情報通信業,52.00%,28712.2 ,8174.1 ,4800,1971,2005,〇,,,,,
54, i-net.creation,https://inet-osaka.jp/,大阪府,情報通信業,50.40%,194.3 ,57.1 ,35,7,2013,×,,,,,
55,ゼンマーケット,https://corporate.zenmarket.jp,大阪府,卸売業・小売業,49.60%,7188.4 ,2146.9 ,195,56,2014,×,,,,,
56,AI CROSS,https://aicross.co.jp/,東京都,情報通信業,49.20%,1908.5 ,574.1 ,33,20,2015,〇,,,,,
57,レーザーテック,https://www.lasertec.co.jp/,神奈川県,製造業,49.00%,70248.3 ,21252.5 ,529,332,1960,〇,,,,,
58,サポータス,https://supportas.co.jp,東京都,情報通信業,48.20%,1157.6 ,355.5 ,126,31,2010,×,,,,,
59,LIVE,https://www.live-inc.co.jp,愛知県,学術研究・専門・技術サービス業,48.10%,429.3 ,132.1 ,21,12,2014,×,,,,,
60,AINS-LAB INC.,http://ainslab.com,兵庫県,学術研究・専門・技術サービス業,47.50%,1504.5 ,468.5 ,10,10,2010,×,,,,,
61,HiiizL,https://hiiizl.co.jp,鹿児島県,情報通信業,47.20%,387.3 ,121.5 ,45,11,2014,×,,,,,
62,WEBEDGE,https://webedge.jp,東京都,情報通信業,46.70%,540.6 ,171.1 ,50,20,2008,×,,,,,
63,経営サポートプラスアルファ,https://keiei-support-plus-a.com/,東京都,学術研究・専門・技術サービス業,46.40%,236.5 ,75.3 ,25,6,2012,×,,,,,
64,日本プロジェクトソリューションズ,https://www.japan-project-solutions.com,神奈川県,学術研究・専門・技術サービス業,46.40%,632.4 ,201.5 ,44,16,2013,×,,,,,
65,WorldUtility,https://worldutility.net,島根県,情報通信業,46.20%,140.2 ,44.9 ,8,3,2015,×,,,,,
66,チェンシージャパン,https://ichengsi.co.jp,神奈川県,情報通信業,45.70%,197.2 ,63.7 ,19,7,2016,×,,,,,
67,ミツフジ,https://www.mitsufuji.co.jp,京都府,情報通信業,45.50%,1119.0 ,363.1 ,25,30,1979,×,,,,,
68,ギア,https://www.g-gear.jp,東京都,生活関連サービス業・娯楽業,45.10%,726.1 ,237.8 ,55,34,2011,×,,,,,
69,Goodpatch Inc.,https://goodpatch.com,東京都,情報通信業,44.20%,2143.0 ,714.0 ,195,118,2011,〇,,,,,
70,BizMow,https://bizmow.com/,東京都,学術研究・専門・技術サービス業,43.70%,145.5 ,49.1 ,80,30,2008,×,,,,,
71,大和インフィリンク,https://yamato-infilink.co.jp/,東京都,不動産業・物品賃貸業,43.10%,2140.8 ,729.9 ,25,7,2015,×,,,,,
72,SuperOx Japan,https://superoxjapan.com,神奈川県,製造業,42.90%,548.9 ,188.1 ,20,5,2011,×,,,,,
73,東京通信,https://tokyo-tsushin.com,東京都,情報通信業,42.90%,2449.0 ,839.4 ,57,6,2015,〇,,,,,
74,プレストファーレ,http://www.prestfare.tokyo,東京都,建設業,42.20%,538.8 ,187.3 ,10,3,2016,×,,,,,
75,合同会社ラボリ,http//labori-saitama.com,埼玉県,医療・福祉,41.90%,494.2 ,173.0 ,100,39,2014,×,,,,,
76,ユニークプラス,https://uniqueplus.co.jp,大阪府,電気・ガス・熱供給・水道業,41.60%,275.2 ,97.0 ,7,3,2015,×,,,,,
77,プレシジョン・システム・サイエンス,http://www.pss.co.jp,千葉県,製造業,41.10%,9047.3 ,3220.4 ,187,171,1985,〇,,,,,
78,TableCheck,https://www.tablecheck.com/ja/company/,東京都,情報通信業,40.90%,928.4 ,332.1 ,104,54,2011,×,,,,,
79,WACUL,https://wacul.co.jp/,東京都,情報通信業,40.90%,712.0 ,254.7 ,51,44,2010,〇,,,,,
80,エリモロジスティクス,http://www.erimologi.com,大阪府,運輸業・郵便業,40.30%,1812.1 ,656.6 ,135,99,2015,×,,,,,
81,グッドコムアセット,https://www.goodcomasset.co.jp,東京都,不動産業・物品賃貸業,39.30%,25921.2 ,9579.8 ,95,71,2005,〇,,,,,
82,エスポリア,https://espoirer.com,東京都,運輸業・郵便業,39.20%,615.1 ,228.0 ,30,5,2015,×,,,,,
83,ブレインズテクノロジー,https://www.brains-tech.co.jp,東京都,情報通信業,38.70%,631.6 ,236.8 ,38,11,2008,〇,,,,,
84,リニューアブル・ジャパン,https://www.rn-j.com/,東京都,電気・ガス・熱供給・水道業,38.40%,22276.0 ,8410.5 ,211,117,2012,×,,,,,
85,ユーコンスカイ,https://www.nuno-omutsu.jp,兵庫県,卸売業・小売業,37.90%,2111.0 ,804.5 ,55,20,2003,×,,,,,
86,巖本商事,https://www.iwamotoshoji.jp/,京都府,不動産業・物品賃貸業,37.70%,2751.6 ,1054.6 ,35,15,2006,×,,,,,
87,シリウス,https://www.sirius-agent.co.jp,東京都,製造業,37.50%,1167.9 ,449.2 ,11,5,2008,×,,,,,
88,TOSYO,https://www.tosyo.co.jp/,埼玉県,製造業,37.40%,380.6 ,146.6 ,34,10,2010,×,,,,,
89,リックソフト,https://www.ricksoft.jp,東京都,情報通信業,36.60%,4363.5 ,1712.1 ,85,59,2005,〇,,,,,
90,ブライタス,https://bright-us.co.jp/,愛知県,小売業・卸売業,36.30%,221.0 ,87.3 ,8,2,2017,×,,,,,
91,CB,https://www.live-link.life,東京都,情報通信業,36.00%,961.7 ,381.9 ,10,5,2015,×,,,,,
92,キッズ・パワー,https://kidspower.co.jp,千葉県,医療・福祉,35.80%,281.6 ,112.5 ,50,15,2015,×,,,,,
93,エイスリー,https://www.a3corp.jp/,東京都,学術研究・専門・技術サービス業,35.70%,1466.1 ,586.2 ,43,16,2008,×,,,,,
94,ガーネット,https://www.garnet-kyoto.co.jp,京都府,不動産業・物品賃貸業,35.70%,2869.4 ,1147.9 ,11,161,2009,×,,,,,
95,Suprieve Holdings,https://suprieve.com/,大阪府,情報通信業,35.60%,4863.7 ,1950.0 ,1156,503,2005,×,,,,,
96,ミンカブ・ジ・インフォノイド,https://minkabu.co.jp/,東京都,情報通信業,35.20%,4158.9 ,1681.1 ,163,71,2006,〇,,,,,
97,よろず屋不動産,http://www.yorozuya-co.jp,神奈川県,不動産業・物品賃貸業,34.80%,150.8 ,61.6 ,17,6,2014,×,,,,,
98,Legaseed,https://www.legaseed.co.jp/,東京都,学術研究・専門・技術サービス業,34.60%,731.7 ,300.1 ,54,22,2013,×,,,,,
99,ウォンテッドリー,https://wantedlyinc.com/ja,東京都,情報通信業,33.90%,3094.5 ,1289.7 ,123,52,2010,〇,,,,,
100,カラダノート,https://corp.karadanote.jp/,東京都,情報通信業,33.80%,732.9 ,306.2 ,30,20,2008,〇,,,,,
