,,基準階300坪以上,,基準階100坪,
,,min300,max300,min100,max100
2002,2002上期,1.6,2.5,1.4,2
,,,,,
,2002下期,1.7,2.5,1.4,2
,,,,,
2003,2003上期,1.7,2.3,1.3,1.9
,,,,,
,2003下期,1.5,2.3,1.2,1.9
,,,,,
2004,2004上期,1.5,2.2,1.2,1.8
,,,,,
,2004下期,1.5,2.5,1.2,2
,,,,,
2005,2005上期,1.5,2.5,1.2,2.2
,,,,,
,2005下期,2.2,3,1.5,2.5
,,,,,
2006,2006上期,2.4,3,1.7,2.5
,,,,,
,2006下期,2.5,3.5,1.7,2.6
,,,,,
2007,2007上期,2.5,3.5,1.8,2.6
,,,,,
,2007下期,2.6,3.5,2,3
,,,,,
2008,2008上期,2.5,3.5,2,3
,,,,,
,2008下期,2.4,3.2,1.8,2.3
,,,,,
2009,2009上期,2,2.5,1.5,2
,,,,,
,2009下期,1.7,2.5,1.4,1.9
,,,,,
2010,2010上期,1.5,2.1,1.3,1.7
,,,,,
,2010下期,1.5,2.1,1.2,1.6
,,,,,
2011,2011上期,1.4,2,1.2,1.6
,,,,,
,2011下期,1.4,2,1.2,1.5
,,,,,
2012,2012上期,1.3,2,1,1.6
,,,,,
,2012 9月,1.5,2,1.2,1.6
,2012 12月,1.5,2,1.2,1.6
2013,2013 3月,1.5,2,1.2,1.7
,2013 6月,1.5,2,1.2,1.7
,2013 9月,1.5,2,1.2,1.7
,2013 12月,1.6,2.1,1.2,1.7
2014,2014 3月,1.6,2.1,1.2,1.7
,2014 6月,1.7,2.1,1.2,1.7
,2014 9月,1.7,2.2,1.3,1.8
,2014 12月,1.7,2.2,1.3,1.8
2015,20150 3月,1.7,2.2,1.3,1.8
,20150 6月,1.7,2.2,1.3,1.8
,20150 9月,1.8,2.3,1.3,1.8
,20150 12月,1.8,2.3,1.3,1.8
2016,2016 3月,1.8,2.3,1.3,1.8
,2016 6月,1.8,2.3,1.3,1.8
,2016 9月,1.8,2.3,1.3,1.8
,2016 12月,1.8,2.3,1.3,1.8
2017,2017 3月,1.8,2.4,1.3,1.9
,2017 6月,1.8,2.4,1.4,2
,2017 9月,1.8,2.4,1.4,2
,2017 12月,1.8,2.4,1.4,2
2018,2018 3月,1.8,2.5,1.5,2.1
,2018 6月,1.9,2.5,1.5,2.2
,2018 9月,1.9,2.5,1.5,2.2
,2018 12月,1.9,2.5,1.5,2.2
2019,2019 3月,1.9,2.5,1.6,2.2
,2019 6月,2,2.6,1.6,2.2
,2019 9月,2,2.6,1.7,2.2
,2019 12月,2.1,2.7,1.7,2.3
2020,2020 3月,2.2,2.7,1.8,2.3
,2020 6月,2.2,2.7,1.8,2.3
,2020 9月,2.3,2.6,1.9,2.3
,2020 12月,2.2,2.5,1.8,2.2
2021,2021 3月,2.1,2.4,1.7,2.1
,2021 6月,2.1,2.3,1.7,2
