,,基準階300坪以上,,基準階100坪,
,,min300,max300,min100,max100
2002,,,,,
,,,,,
,2002下期,3,5,2.5,4
,,,,,
2003,2003上期,2.7,4.5,2.3,3.5
,,,,,
,2003下期,2.7,3.8,2.3,3.2
,,,,,
2004,2004上期,2.6,3.5,2.2,3.5
,,,,,
,2004下期,2.7,3.7,2.2,3
,,,,,
2005,2005上期,2.7,4.5,2.4,4
,,,,,
,2005下期,3.2,4.8,2.8,4
,,,,,
2006,2006上期,3.5,5,3.2,4
,,,,,
,2006下期,4,5.5,3.5,5
,,,,,
2007,2007上期,5,6.5,4,5.5
,,,,,
,2007下期,5.5,6.5,4,5.5
,,,,,
2008,2008上期,5,6,4,5.5
,,,,,
,2008下期,4.5,5.8,3.5,5
,,,,,
2009,2009上期,3.5,5,2.7,3.5
,,,,,
,2009下期,2.7,4,2.5,3
,,,,,
2010,2010上期,2.5,4,2.2,3
,,,,,
,2010下期,2.5,3.8,2,2.8
,,,,,
2011,2011上期,2.2,3.5,1.9,2.8
,,,,,
,2011下期,2.2,3.3,1.9,2.8
,,,,,
2012,2012上期,2.3,3.5,1.9,2.8
,2012 9月,2.5,3.5,2,3.1
,2012 12月,2.5,3.7,2.3,3
,2013 3月,2.5,4,2.4,3.2
2013,2013 6月,2.8,4,2.5,3.4
,2013 9月,2.8,4,2.5,3.5
,2013 12月,2.9,4,2.5,3.5
,2014 3月,2.9,4.1,2.5,3.5
2014,2014 6月,3,4.3,2.5,3.5
,2014 9月,3,4.5,2.6,3.6
,2014 12月,3,4.6,2.6,3.6
,2015 3月,3,4.7,2.7,3.6
2015,2015 6月,3.1,4.8,2.7,3.6
,2015 9月,3.2,4.7,2.7,3.6
,2015 12月,3.2,4.8,2.7,3.6
,2016 3月,3.2,4.8,2.8,3.8
2016,2016 6月,3.2,4.8,2.8,3.8
,2016 9月,3.2,4.8,2.8,3.8
,2016 12月,3.2,4.8,2.8,3.8
,2017 3月,3.2,4.8,2.9,3.8
2017,2017 6月,3.2,4.8,3,3.8
,2017 9月,3.3,4.9,3.1,3.9
,2017 12月,3.3,4.9,3.2,3.9
,2018 3月,3.4,5,3.2,3.9
2018,2018 6月,3.4,5,3.2,3.9
,2018 9月,3.4,5,3.2,4
,2018 12月,3.4,5,3.2,4
,2019 3月,3.5,5.1,3.2,4
2019,2019 6月,3.5,5.2,3.3,4
,2019 9月,3.5,5.3,3.3,4
,2019 12月,3.5,5.4,3.3,4.1
,2020 3月,3.5,5.4,3.3,4.1
2020,2020 6月,3.5,5.4,3.3,4.1
,2020 9月,3.5,5.4,3.3,4
,2020 12月,3.5,5.3,3.2,4
,2021 3月,3.3,5.3,3.1,4
2021,2021 6月,3,5.3,3,4
