T_Key,label,attribute,sex,x,y,cluster
1058,柴田英嗣（アンタッチャブル）,お笑いタレント,M,69.1,68.4,今旬
1060,中田敦彦（オリエンタルラジオ）,お笑いタレント,M,80.6,53.7,
1062,蛍原徹（雨上がり決死隊）,お笑いタレント,M,77.2,62.2,今旬
1064,矢作兼（おぎやはぎ）,お笑いタレント,M,76.1,64.6,今旬
1065,山崎弘也（アンタッチャブル）,お笑いタレント,M,79.1,74.4,今旬
1078,児嶋一哉（アンジャッシュ）,お笑いタレント,M,83.7,76.9,今旬
1080,小杉竜一（ブラックマヨネーズ）,お笑いタレント,M,76.6,66.7,
1081,吉田敬（ブラックマヨネーズ）,お笑いタレント,M,74.3,60.8,今旬
1082,大沢たかお,俳優,M,65.2,72.7,今旬
1084,ウド鈴木（キャイ～ン）,お笑いタレント,M,82.5,59.6,今旬
1085,大島美幸（森三中）,お笑いタレント,F,77.8,61.8,大御所＆安定
1086,堀内健（ネプチューン）,お笑いタレント,M,82,59.4,今旬
1097,原田泰造（ネプチューン）,お笑いタレント,M,81.5,74.2,今旬
1100,黒沢かずこ（森三中）,お笑いタレント,F,79.5,64.7,大御所＆安定
1102,トシ（タカアンドトシ）,お笑いタレント,M,84.1,72.2,今旬
1125,村上知子（森三中）,お笑いタレント,F,73.3,59.9,大御所＆安定
1134,塚地武雅（ドランクドラゴン）,お笑いタレント,M,73.5,68,今旬
1136,天野ひろゆき（キャイ～ン）,お笑いタレント,M,80.7,61.3,今旬
1142,タカ（タカアンドトシ）,お笑いタレント,M,84.7,71,今旬
1149,有野晋哉（よゐこ）,お笑いタレント,M,72.1,62.3,今旬
1150,名倉潤（ネプチューン）,お笑いタレント,M,81.8,66.3,今旬
1156,鈴木拓（ドランクドラゴン）,お笑いタレント,M,69,49.4,大御所＆安定
1160,須賀健太,俳優,M,37.6,72,注目
1161,田中圭,俳優,M,76.6,72.7,今旬
1164,美山加恋,俳優,F,34,67.6,注目
1165,北川景子,俳優,F,88,80.6,今旬
1176,片桐仁,俳優,M,35.8,74.1,注目
1179,川島明（麒麟）,お笑いタレント,M,70.5,71.9,
1186,YUKI,歌手・ミュージシャン,F,39,70.9,注目
1207,THE ALFEE,歌手・ミュージシャン,M,69,65.2,今旬
1211,皆藤愛子,キャスター,F,56.4,65.3,注目
1215,チュートリアル,お笑いタレント,M,73.4,63.9,今旬
1217,本郷奏多,俳優,M,38.6,73.4,注目
1219,檀れい,俳優,F,59.1,69.8,注目
1225,いきものがかり,歌手・ミュージシャン,F,71.6,72,今旬
1227,桜井和寿（Mr.Children）,歌手・ミュージシャン,M,71.5,75.2,今旬
1229,増田貴久（NEWS）,俳優,M,64.3,69.2,注目
1233,大後寿々花,俳優,F,11.1,73.8,NEXTブレイク
1244,中村俊介,俳優,M,47.1,67,注目
1248,稲葉浩志（B'z）,歌手・ミュージシャン,M,66.5,73.3,今旬
1251,石川遼,現役スポーツ選手,M,73.4,54.8,大御所＆安定
1253,佐藤健,俳優,M,78.2,76.7,今旬
1259,Hey! Say! JUMP,歌手・ミュージシャン,M,55.2,71,
1261,IKKO,タレント,M,84.3,61.8,今旬
1263,バナナマン,お笑いタレント,M,87.2,75.3,今旬
1265,千原兄弟,お笑いタレント,M,79.7,60.1,今旬
1266,宮川大輔,お笑いタレント,M,82.9,67.7,今旬
1269,夏目三久,キャスター,F,57.7,64.3,注目
1291,横山裕（関ジャニ∞）,俳優,M,72.3,68.3,今旬
1292,品川祐（品川庄司）,お笑いタレント,M,70.6,48.5,大御所＆安定
1293,日村勇紀（バナナマン）,お笑いタレント,M,84.9,69.9,今旬
1294,庄司智春（品川庄司）,お笑いタレント,M,76,53.7,大御所＆安定
1295,設楽統（バナナマン）,お笑いタレント,M,81.9,72.7,今旬
1296,山田涼介（Hey!Say!JUMP）,俳優,M,68.2,69.6,今旬
1298,多部未華子,俳優,F,78.4,78.3,今旬
1300,岡田将生,俳優,M,66,80.6,今旬
1301,溝端淳平,俳優,M,61.8,71.8,注目
1302,GReeeeN,歌手・ミュージシャン,M,41.2,82.8,該当なし
1305,江頭2:50,お笑いタレント,M,82.7,54,大御所＆安定
1316,南明奈,タレント,F,65,56.9,大御所＆安定
1318,大森南朋,俳優,M,47.2,73,注目
1322,AKB48,歌手・ミュージシャン,F,51.4,54.7,該当なし
1326,吉高由里子,俳優,F,78.8,73.7,今旬
1328,FUJIWARA,お笑いタレント,M,66.1,58.7,注目
1337,千原ジュニア（千原兄弟）,お笑いタレント,M,85.8,60.9,今旬
1348,RADWIMPS,歌手・ミュージシャン,M,33.3,79.5,NEXTブレイク
1369,向井理,俳優,M,75.5,70.7,今旬
1370,ケンドーコバヤシ,お笑いタレント,M,75.8,63.1,今旬
1372,瀬戸康史,俳優,M,57.4,81.8,注目
1378,いとうあさこ,お笑いタレント,F,85.3,71.4,今旬
1379,サンドウィッチマン,お笑いタレント,M,86.5,84.6,該当なし
1391,上地雄輔,俳優,M,73.7,53.5,大御所＆安定
1393,中田翔,現役スポーツ選手,M,48.1,62.4,注目
1395,白鵬,現役スポーツ選手,M,24.5,53.5,大御所＆安定
1396,ラルフ鈴木,キャスター,M,34.1,49.9,NEXTブレイク
1397,つるの剛士,タレント,M,78.4,54.2,大御所＆安定
1401,中山優馬,俳優,M,38.8,68.9,注目
1402,徳井義実（チュートリアル）,お笑いタレント,M,80.9,57.8,大御所＆安定
1404,福田充徳（チュートリアル）,お笑いタレント,M,71.7,60.7,大御所＆安定
1408,イモトアヤコ,お笑いタレント,F,88.2,69.2,今旬
1409,狩野英孝,お笑いタレント,M,80.5,56.4,大御所＆安定
1411,知念侑李（Hey! Say! JUMP）,俳優,M,51.3,69.5,
1423,DAIGO,歌手・ミュージシャン,M,84.6,70.5,今旬
1424,髙木雄也（Hey! Say! JUMP）,俳優,M,36.5,63.6,
1428,三浦翔平,俳優,M,59.6,75.8,注目
1431,桐谷健太,俳優,M,74.5,72.2,今旬
1437,Perfume,歌手・ミュージシャン,F,73,72.1,今旬
1442,大倉忠義（関ジャニ∞）,俳優,M,63.4,73.6,注目
1446,仲里依紗,俳優,F,67.5,74.7,注目
1450,Superfly,歌手・ミュージシャン,F,58.8,78.5,注目
1452,吉田沙保里,著名人,F,85.6,56.1,大御所＆安定
1458,はるな愛,タレント,F,83.4,50.1,大御所＆安定
1459,中島裕翔（Hey! Say! JUMP）,俳優,M,47.6,75.2,
1464,杏,俳優,F,79.5,74.6,今旬
1470,有吉弘行,お笑いタレント,M,86.7,74.4,今旬
1473,オードリー,お笑いタレント,M,85.8,72,今旬
1483,斉藤和義,歌手・ミュージシャン,M,51,73.1,注目
1501,村上信五（関ジャニ∞）,俳優,M,75.9,66.5,今旬
1502,丸山隆平（関ジャニ∞）,俳優,M,60.4,70.9,注目
1503,安田章大（関ジャニ∞）,俳優,M,56,67,注目
1504,加藤シゲアキ（NEWS）,俳優,M,61.2,58.1,注目
1505,小山慶一郎（NEWS）,俳優,M,67,50.1,大御所＆安定
1506,松重豊,俳優,M,57.2,78.9,該当なし
1509,有岡大貴（Hey! Say! JUMP）,俳優,M,43.4,71.1,
1510,古田新太,俳優,M,65.2,70.3,今旬
1514,ナイツ,お笑いタレント,M,73.5,75.8,
1520,U字工事,お笑いタレント,M,68.6,69.4,今旬
1529,佐々木希,俳優,F,80.2,67.9,今旬
1536,杉浦太陽,俳優,M,68.5,54,大御所＆安定
1539,マツコ・デラックス,タレント,M,93.2,78.6,今旬
1541,玉森裕太（Kis-My-Ft2）,俳優,M,60.4,75.3,今旬
1544,益若つばさ,タレント,F,63.1,49,
1554,IMALU,タレント,F,66.1,51.2,該当なし
1555,桜庭ななみ,俳優,F,36,68.9,注目
1556,JUJU,歌手・ミュージシャン,F,67,71.5,注目
1561,本村健太郎,著名人,M,31.6,52.3,該当なし
1562,八代英輝,著名人,M,29.9,60.5,注目
1564,春日俊彰（オードリー）,お笑いタレント,M,87.5,65,今旬
1565,若林正恭（オードリー）,お笑いタレント,M,87.5,72.2,今旬
1567,加藤清史郎,俳優,M,62.4,69.7,
1572,中田有紀,キャスター,F,22.1,72.4,NEXTブレイク
1574,馬場典子,キャスター,F,41.7,67.8,注目
1575,林遣都,俳優,M,48.5,73.5,注目
1576,菊池雄星,現役スポーツ選手,M,39.9,65.6,注目
1577,倉科カナ,俳優,F,60.5,73.4,注目
1579,ハライチ,お笑いタレント,M,72.2,74.1,今旬
1593,前田敦子,俳優,F,78.5,47.4,大御所＆安定
1596,小嶋陽菜,タレント,F,60.9,63,
1603,北原里英,俳優,F,29.7,61.5,該当なし
1605,柏木由紀(AKB48),歌手・ミュージシャン,F,67.5,52.2,該当なし
1606,松井珠理奈(SKE48),歌手・ミュージシャン,F,50.4,50.7,該当なし
1607,大東駿介,俳優,M,30.8,60.2,NEXTブレイク
1610,石黒賢,俳優,M,62.7,62.5,注目
1613,杉本哲太,俳優,M,51.5,74,注目
1616,濱田龍臣,俳優,M,47.2,72.4,注目
1623,桐谷美玲,俳優,F,75.7,74.2,今旬
1624,坂井真紀,俳優,F,51.3,68.3,注目
1635,舟山久美子（くみっきー）,タレント,F,37.5,51.9,注目
1638,ローラ,タレント,F,85.6,62.3,大御所＆安定
1641,近藤春菜（ハリセンボン）,お笑いタレント,F,84.9,63.8,今旬
1643,東京03,お笑いタレント,M,59,79.2,
1644,箕輪はるか（ハリセンボン）,お笑いタレント,F,82.1,59.5,大御所＆安定
1652,大竹真,キャスター,M,40.3,51,注目
1657,池上彰,著名人,M,84.9,63.2,今旬
