cate1,cate2,level,title,url,description,img,search,cdnimg
AI,基礎知識,初級,ビジネスパーソンが最低限知っておくべきAIの基本,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/00998/,　「信頼性のある自由なデータ流通（Data Free Flow with Trust、DFFT）」の一部を構成するガバメントアクセスは、すでに机上の空論ではなく実務対応が必要な要件となりつつある。ガバメントアクセスの経緯や位置づけ、背景を概説し、その理念や目的について検討する。,/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/02299/top.jpg,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/00998/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
AI,基礎知識,中級,AI入門,http://tech.nikkeibp.co.jp/atcl/learning/lecture/19/00001/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/learning/lecture/19/00001/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
AI,基礎知識,中級,教養として知っておきたいAIの到達点,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/01563/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/01563/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
AI,資格対策,中級,ディープラーニング「G検定」対策［前編］,http://tech.nikkeibp.co.jp/atcl/learning/lecture/19/00072/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/learning/lecture/19/00072/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
AI,数学的知識,中級,機械学習のための数学入門,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/00816/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/00816/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
AI,数学的知識,上級,AIブームの立役者「強化学習」を直感的に理解する,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/00913/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/00913/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
AI,資格対策,中級,ディープラーニング「G検定」対策［後編］,http://tech.nikkeibp.co.jp/atcl/learning/lecture/19/00073/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/learning/lecture/19/00073/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
AI,実装,中級,Pythonで役立つAIをつくる方法,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/01408/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/01408/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
セキュリティー,暗号,初級,図解 暗号の用語と仕組み,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/00308/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/00308/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
セキュリティー,実験,中級,試してわかるセキュリティー実験室,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/01800/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/01800/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
